index,Names,Gender,Count,Probability,quote,author,tags,likes
17,Anthony,M,1506437,0.004122727,It is never too late to be what you might have been.,George Eliot,inspirational;source-unknown,31772
18,George,M,1495736,0.004093442,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,attributed-no-source;friends;heartbreak;inspirational;life;love;sisters,31258
19,Linda,F,1480592,0.004051996,There is no greater agony than bearing an untold story inside you.,"Maya Angelou,",1970;inspirational;stories;writing,29148
20,Barbara,F,1459870,0.003995286,Everything you can imagine is real.,Pablo Picasso,art;imagination;inspirational;life,28223
21,Donald,M,1447641,0.003961818,You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,books;inspirational;reading;tea,26307
22,Paul,M,1437346,0.003933643,"To the well-organized mind, death is but the next great adventure.","J.K. Rowling,",death;inspirational,24954
23,Mark,M,1410637,0.003860548,Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,inspirational;life;yourself,24601
24,Andrew,M,1394274,0.003815766,"Do what you can, with what you have, where you are.",Theodore Roosevelt,inspirational,22963
25,Steven,M,1347137,0.003686765,"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,anything-can-be;hope;impossible;inspirational;musn-t;possibilities;shouldn-t;won-t,22129
26,Kenneth,M,1321790,0.003617397,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,inspirational,21945
27,Edward,M,1319807,0.00361197,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,bravery;courage;failure;inspirational;success,21761
28,Joshua,M,1316998,0.003604282,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.","Stephen Chbosky,",charlie;favourite-books;inspirational;sad;soul-searching;wallflower,21230
29,Margaret,F,1280255,0.003503726,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,beatles;connection;dreamers;dreaming;dreams;hope;inspirational;peace,18379
30,Brian,M,1239444,0.003392037,"And, when you want something, all the universe conspires in helping you to achieve it.","Paulo Coelho,",inspirational,18157
31,Kevin,M,1237204,0.003385907,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.","Marianne Williamson,",akeelah;fear;inspirational,16703
32,Jessica,F,1173979,0.003212876,"It??s no use going back to yesterday, because I was a different person then.",Lewis Carroll,alice;humor;inspirational;philosophy-of-life;psychological;yesterday,16460
33,Sarah,F,1162143,0.003180484,"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.","Maya Angelou,",1993;advice;complaining;inspirational,14892
34,Susan,F,1154677,0.003160052,It's the possibility of having a dream come true that makes life interesting.,"Paulo Coelho,",inspirational,14669
35,Timothy,M,1122610,0.003072293,"A person's a person, no matter how small.","Dr. Seuss,",inspirational,14552
36,Dorothy,F,1118450,0.003060908,"He??s not perfect. You aren??t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn??t going to quote poetry, he??s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don??t hurt him, don??t change him, and don??t expect for more than he can give. Don??t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he??s not there. Love hard when there is love to be had. Because perfect guys don??t exist, but there??s always one guy that is perfect for you.",Bob Marley,inspirational;love,14375
37,Jason,M,1112091,0.003043505,"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.","Henri Nouwen,",empathy;friends;friendship;inspirational,13735
38,Ronald,M,1111459,0.003041775,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.","Nicholas Sparks,",inspirational;the-notebook,13398
39,Helen,F,1033566,0.002828602,Well-behaved women seldom make history.,"Laurel Thatcher Ulrich,",inspirational;misattributed-eleanor-roosevelt;women,12363
40,Ryan,M,1026185,0.002808402,"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi,despair;evil;goodness;inspirational;love;sadness;truth;victory,11563
41,Jeffrey,M,1020570,0.002793035,"So we beat on, boats against the current, borne back ceaselessly into the past.","F. Scott Fitzgerald,",book;inspirational,11409
42,Karen,F,1018083,0.002786229,"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,attributed-no-source;inspirational,11397
43,Nancy,F,1016057,0.002780685,"I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.",Herbert Bayard Swope,failure;inspirational;misattributed-bill-cosby;success,11105
44,Betty,F,1005188,0.002750939,Do what you feel in your heart to be right ?? for you??ll be criticized anyway.,Eleanor Roosevelt,inspirational,11074
45,Lisa,F,1005108,0.00275072,"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes ??Awww!","Jack Kerouac,",freethinker;inspirational;mad,11070
46,Jacob,M,975297,0.002669135,Happiness is not something ready made. It comes from your own actions.,Dalai Lama XIV,happiness;inspirational,10808
47,Nicholas,M,968611,0.002650837,Peace begins with a smile..,Mother Teresa,inspirational;peace;smile;smiling,10710
48,Ashley,F,957384,0.002620112,"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",Margaret Mead,activism;attributed-no-source;change;inspirational;life;philosophy;world,10637
49,Eric,M,932323,0.002551526,"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",Gustave Flaubert,books;inspirational;life;reading,10563
50,Frank,M,924751,0.002530804,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.","John Green,",inspirational,10509
51,Gary,M,924718,0.002530713,What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson,inspirational,10278
52,Anna,F,916075,0.00250706,"For attractive lips, speak words of kindness","Sam Levenson,",beauty;charity;inspirational;kindness;misattributed-audrey-hepburn,10214
53,Stephen,M,906367,0.002480491,Promise Yoursel,"Christian D. Larson,",happiness;inspirational;love;optimism;strength,9930
54,Jonathan,M,901897,0.002468258,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.","C.S. Lewis,",friendship;inspirational,9924
55,Sandra,F,901623,0.002467508,"Whatever you are, be a good one.",Abraham Lincoln,inspirational,9813
56,Emily,F,899883,0.002462746,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.","F. Scott Fitzgerald,",inspirational;women,9705
57,Amanda,F,886371,0.002425768,"Two wrongs don't make a right, but they make a good excuse.",Thomas Szasz,humor;inspirational,9591
58,Kimberly,F,874977,0.002394585,First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,Nicholas Klein,conflict;fighting;inspirational;misattributed-to-gandhi;trial,9470
59,Michelle,F,862683,0.00236094,May you live every day of your life.,Jonathan Swift,inspirational;life;philosophy;wisdom,9340
60,Donna,F,849167,0.00232395,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"Robert Fulghum,",hope;imagination;inspirational,8987
61,Justin,M,846720,0.002317253,Who controls the past controls the future. Who controls the present controls the past.,"George Orwell,",inspirational,8799
62,Laura,F,842865,0.002306703,You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,"A.A. Milne,",friendship;inspirational;pooh;winnie,8707
63,Ruth,F,832959,0.002279593,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,L.M. Montgomery,beginnings;fresh-start;inspirational;mistake;mistakes;new-day;start-over;tomorrow,8519
64,Carol,F,831393,0.002275307,"If my life is going to mean anything, I have to live it myself.","Rick Riordan,",inspirational;life;meaning,8480
65,Brandon,M,828500,0.00226739,"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",C. JoyBell C.,affection;communication;heartwarming;human-connections;human-nature;humanism;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;relationships,8149
66,Larry,M,818093,0.002238908,Hope is the thing with feather,Emily Dickinson,feathers;hope;inspirational;souls,8093
67,Scott,M,811733,0.002221503,"And once the storm is over, you won??t remember how you made it through, how you managed to survive. You won??t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won??t be the same person who walked in. That??s what this storm??s all about.",haruki murakami,adversity;inspirational;life-lessons;problems;trials,8012
68,Melissa,F,808067,0.00221147,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ??happy??. They told me I didn??t understand the assignment, and I told them they didn??t understand life.",John Lennon,inspirational;life,7929
69,Stephanie,F,802059,0.002195028,Always do what you are afraid to do.,Ralph Waldo Emerson,inspirational,7829
70,Benjamin,M,800321,0.002190271,Pain is inevitable. Suffering is optional.,"haruki murakami,",inspirational;running,7779
71,Raymond,M,795468,0.00217699,Our lives begin to end the day we become silent about things that matter.,"Martin Luther King Jr.,",inspirational,7762
72,Samuel,M,791052,0.002164904,If you're reading this..,"Chad Sugg,",alive;congratulations;hope;humanity;inspiration;inspirational;inspire;life;poetry;smile;wisdom,7721
73,Rebecca,F,788998,0.002159283,"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life",Alexandre Dumas,hope;inspirational;wisdom,7709
74,Deborah,F,757908,0.002074198,"In the end, we will remember not the words of our enemies, but the silence of our friends.",Martin Luther King Jr.,inspirational,7642
75,Gregory,M,746456,0.002042857,"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.","Ayn Rand,",inspirational;life,7632
76,Sharon,F,742904,0.002033136,Talent hits a target no one else can hit. Genius hits a target no one else can see.,Arthur Schopenhauer,inspirational;talent,7570
77,Kathleen,F,736220,0.002014843,It is so hard to leave??until you leave. And then it is the easiest goddamned thing in the world.,"John Green,",inertia;inspirational;leaving;nerdfighter,7544
78,Amy,F,731739,0.00200258,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..","John Milton,",inspirational;religion,7514
79,Cynthia,F,723943,0.001981244,Fantasy is hardly an escape from reality. It's a way of understanding it.,Lloyd Alexander,fantasy;inspirational;writing,7227
80,Alexander,M,716159,0.001959942,Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,"Paulo Coelho,",inspirational,7194
81,Patrick,M,713972,0.001953956,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.","J.R.R. Tolkien,",hope;inspirational;love,7030
82,Jack,M,711970,0.001948477,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,inspirational;life,7008
83,Henry,M,702836,0.00192348,I can be changed by what happens to me. But I refuse to be reduced by it,"Maya Angelou,",be-yourself;inspirational;misquote;self-determination,6953
84,Angela,F,699210,0.001913556,Never let your sense of morals prevent you from doing what is right.,"Isaac Asimov,",humor;inspirational;philosophy;wisdom,6753
85,Shirley,F,698062,0.001910415,Hell is empty and all the devils are here.,"William Shakespeare,",inspirational,6736
86,Emma,F,693904,0.001899035,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",Martin Luther King Jr.,inspirational,6721
87,Catherine,F,686347,0.001878354,"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.",Theodore Roosevelt,inspirational;politics;presidential,6670
88,Katherine,F,671534,0.001837814,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,maya angelou,humor;inspirational;life,6577
89,Virginia,F,654643,0.001791588,Turn your wounds into wisdom.,Oprah Winfrey,experience;inspirational;pain;wisdom;wounds,6534
90,Nicole,F,653738,0.001789111,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.","Arthur Conan Doyle,",inspirational,6488
91,Dennis,M,634888,0.001737524,"If you remember me, then I don't care if everyone else forgets.","Haruki Murakami,",inspirational;love,6283
92,Walter,M,631880,0.001729292,War is peace,"George Orwell,",freedom;ignorance;inspirational;war,6103
93,Tyler,M,627809,0.00171815,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,Mahatma Gandhi,god;heart;humanity;inspirational;prayer;religion;souls;weakness,6085
94,Peter,M,624703,0.00170965,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,"Roy T. Bennett,",attitude;choice;choices;giving;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect,6041
95,Brenda,F,623319,0.001705862,It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,"Dale Carnegie,",attitude;contentment;happiness;inspirational;life,5936
96,Aaron,M,623260,0.001705701,"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.","Suzanne Collins,",inspirational;love,5924
97,Jerry,M,619534,0.001695504,"And, in the en","Paul McCartney,",beatles;inspirational;live;love;music,5913
98,Christine,F,618510,0.001692702,The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt,dreams;future;inspirational;misattributed-eleanor-roosevelt,5848
99,Samantha,F,614650,0.001682138,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.",Maya Angelou,1997;annie-clark-tanner-lecture;inspirational;love;trust,5815
100,Adam,M,613090,0.001677868,"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",Agatha Christie,inspirational,5781
101,Rachel,F,608929,0.001666481,"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?",Mother Teresa,inspirational;love,5730
102,Pamela,F,608542,0.001665422,"We??re all seeking that special person who is right for us. But if you??ve been through enough relationships, you begin to suspect there??s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn??t until you finally run up against your deepest demons, your unsolvable problems??the ones that make you truly who you are??that we??re ready to find a lifelong mate. Only then do you finally know what you??re looking for. You??re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person??someone you lovingly gaze upon and think, ??This is the problem I want to have.","Andrew  Boyd,",being-loved;completion;inspirational;love;relationships,5607
103,Frances,F,597703,0.001635758,"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.",Mark Twain,death;inspirational,5428
104,Nathan,M,588399,0.001610296,Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,day;inspirational;judge;plant;reap;seed;seeds;sow,5427
105,Douglas,M,587147,0.001606869,"But I know, somehow, that only when it is dark enough can you see the stars.","Martin Luther King, Jr.",hope;inspirational,5392
106,Heather,F,584816,0.00160049,None but ourselves can free our minds.,Bob Marley,bob-marley;inspirational;music;reggae,5337
107,Evelyn,F,583016,0.001595564,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett,",dreams;fearless;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mind;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,5189
108,Jose,M,582242,0.001593445,"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer,inspirational;life;spiritual;uplifting,5165
109,Alice,F,571812,0.001564901,"Simplicity, patience, compassion","Lao Tzu,",inspirational;life;philosophy,5148
110,Janet,F,569909,0.001559693,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","Steve Maraboli,",forgiveness;inspirational;letting-go;life;motivational;moving-forward;truth,5037
111,Maria,F,567973,0.001554395,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","Rabindranath Tagore,",aspiration;assurance;beauty;clouds;color;conviction;inspirational;maturity;sunset,5026
112,Zachary,M,567305,0.001552567,"People say nothing is impossible, but I do nothing every day.","A.A. Milne,",humor;idleness;inspirational,4945
113,Carolyn,F,565635,0.001547996,"Instead of worrying about what you cannot control, shift your energy to what you can create.","Roy T. Bennett,",creation;creative;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;worry,4935
114,Debra,F,562674,0.001539893,A woman's heart should be so hidden in God that a man has to seek Him just to find her.,Max Lucado,inspirational;love,4875
115,Harold,M,556704,0.001523555,It's kind of fun to do the impossible.,Walt Disney,inspirational,4871
116,Martha,F,552497,0.001512041,"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",Kalu Ndukwe Kalu,hope;inspiration;inspirational;life;truth,4863
117,Marie,F,548785,0.001501882,"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",Leonardo da Vinci,art;inspirational,4838
118,Arthur,M,540307,0.00147868,Dare to B,"Steve Maraboli,",compassion;dare-to-be;gratitude;inspirational;life;motivational;seize-the-day;smile;success,4835
119,Julie,F,532960,0.001458573,Pain is temporary. Quitting lasts forever.,"Lance Armstrong Sally Jenkins,",cancer;failure;inspiration;inspirational;pain;quitting,4809
120,Kyle,M,532546,0.00145744,"When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.",Taylor Swift,fairy-tales;inspirational;prince-charming;taylor-swift,4741
121,Diane,F,530707,0.001452407,"It??s only after you??ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,change;focus;grow;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;stay-focused;step-out-of-comfort-zone;transform,4714
122,Christina,F,519041,0.001420481,"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.",Jim MORRISON,freedom;individuality;inspirational;mask;personality;revolution;truth,4693
123,Victoria,F,514307,0.001407525,Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.,belief;bravery;courage;fear;fears;inspirational;inspirational-life;inspirational-quotes;strength,4672
124,Joyce,F,513332,0.001404857,"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.","Santosh Kalwar,",cry;inspirational;joke;love;romance;smile,4646
125,Carl,M,511826,0.001400735,All the darkness in the world cannot extinguish the light of a single candle.,"St. Francis Of Assisi,",inspirational,4623
126,Lauren,F,511468,0.001399755,"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.","Roy T. Bennett,",focus;future;happiness;happy;inspiration;inspirational;inspirational-quotes;letting-go-of-the-past;life;life-and-living;life-quotes;live;living;living-in-the-present;living-life;living-life-to-the-fullest;living-now;worry,4614
127,Grace,F,509446,0.001394222,You never fail until you stop trying.,Albert Einstein,inspirational,4604
128,Kelly,F,505014,0.001382092,"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",C. JoyBell C.,forgetting;hate;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;letting-go;life;life-and-living;living;strength,4571
129,Albert,M,497184,0.001360664,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.","Roy T. Bennett,",authentic-living;being-positive;blessed;compassion;hate;inspiration;inspirational;inspirational-quotes;judgment;less-more;life;life-purpose;life-quotes;living;love;mind;motivation;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles;spirituality;stress;stressed;worry;worrying,4569
130,Rose,F,489578,0.001339848,"The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.",John F. Kennedy,chinese;crisis;danger;inspirational;opportunity,4535
131,Megan,F,489524,0.0013397,Hop,Alfred Lord Tennyson,happiness;hope;inspirational;new-year,4518
132,Joan,F,489178,0.001338753,"Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.","Cornelia Funke,",inspirational,4516
133,Jeremy,M,476599,0.001304328,"Start writing, no matter what. The water does not flow until the faucet is turned on.",Louis L'Amour,inspirational;writing,4515
134,Ann,F,476259,0.001303397,Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.,"Jonathan Safran Foer,",future;inspirational;life,4471
135,Julia,F,474896,0.001299667,"Take responsibility of your own happiness, never put it in other people??s hands.","Roy T. Bennett,",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;responsibility,4469
136,Kathryn,F,474269,0.001297951,You're off to Great Places,"Dr. Seuss,",inspirational,4423
137,Lawrence,M,469128,0.001283882,To see a World in a Grain of San,"William Blake,",inspirational;wonder,4381
138,Olivia,F,468892,0.001283236,"Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.",H. Jackson Brown Jr.,inspirational;life,4328
139,Judith,F,466109,0.001275619,"Well, no","Pablo Neruda,",forgetting;heartbreak;inspirational;living;love;moving-on,4311
140,Doris,F,465461,0.001273846,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",C. JoyBell C.,growing;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;learning;life-and-living;life-lessons;love;people;real-love;reality;reality-of-life;those-who-love-us;to-be-loved;true-love;what-matters,4292
